full_text,created_at
"Pregnant women should be offered Pfizer or Moderna #SARSCoV2 / #COVID19 vaccine, says UK advisory committee: https://t.co/kjUFIR89zk",2021-04-20 23:07:25
"RT @VernersViews: Covid Vaccines are 100% safe for Pregnant Women” – This is a lie.
Original advice:
"".. pregnancy should be excluded befor…",2021-04-20 23:02:16
RT @hanimomo: According to Observer: https://t.co/uefmFngBkQ https://t.co/3cmVrF5vn7,2021-04-20 23:03:16
RT @BordersAgainst: University of Oxford who have developed a vaccine alongside Astrazeneca that has been approved for emergency use only i…,2021-04-20 23:04:47
RT @CarryOnMargate: Woman had three brain surgeries due to blood clots after J&amp;J vaccine https://t.co/uXChMCDv9u via @MailOnline,2021-04-20 23:04:25
"RT @AndyEMorrison: This is abject nonsense from @NicolaSturgeon

Despite saying plenty on policy areas outwith her competence, not once did…",2021-04-20 23:03:24
"RT @EssexPR: Originally , 60 of us in Hospitality,with some very big names and operators, signed this charter to state WE WILL NOT accept V…",2021-04-20 23:06:29
"RT @BradenDavy: ‘Delusional’ Nicola Sturgeon refuses to credit the Union for vaccine success

https://t.co/BbsBgnMJAD",2021-04-20 23:01:41
"RT @gazcon: Government data show 624,633 *reported* adverse reactions to the jab.

132,000 for Pfizer, 492,000 for Astra Zeneca, as of 5th…",2021-04-20 23:06:56
RT @CarryOnMargate: Woman had three brain surgeries due to blood clots after J&amp;J vaccine https://t.co/uXChMCDv9u via @MailOnline,2021-04-20 23:11:39
"The Authorities have managed to activate the most powerful and primitive human emotion in Brits, which causes one to be incapable of rational thought… fear.  https://t.co/WTNlTgfTwx",2021-04-20 23:00:30
"Covid-19: Pregnant women should be offered Pfizer or Moderna vaccine, says UK advisory committee 

⁦@WeSchoolNurses⁩  https://t.co/FEMgicdErj",2021-04-20 23:01:34
"RT @Goldie6473: @N_F_T_W Also news from Israel
https://t.co/12jgxv9dHP",2021-04-20 23:14:59
"RT @pash22: ‘Possible link’ between @JNJCares vaccine and blood clots, European regulator @EMA_News finds https://t.co/kFuvt62Vrp via @samu…",2021-04-20 23:14:38
"RT @EssexPR: Originally , 60 of us in Hospitality,with some very big names and operators, signed this charter to state WE WILL NOT accept V…",2021-04-20 23:00:41
RT @Christi77667754: @XavierBecerra @potus why can Indian tourists travel to the US w/ just a Covid test when they have one of the largest…,2021-04-20 23:04:38
