full_text,created_at
"RT @NELincsCCG: Flu can cause serious health issues for pregnant women, the elderly, young children and those with long term health conditi…",2019-10-20 12:54:42
"RT @ParamedicsUK: #BeatTheFlu #ProtectYourself #ProtectYourFamily #ProtectYourPatients from the #flu by getting the #flujab #vaccine
https:…",2019-10-20 14:43:35
"@Romulholland @lisette_morelos @fatimatorre @bianca_king @aracelyarambula @ilean76 @MsRachelStevens @ParisJackson @lizasoberano @sritianne @jenwinget European drug regulators approve
world's first Ebola vaccine 
https://t.co/3vg8mI6gu1",2019-10-20 15:44:27
RT @MailOnline: European drug regulators approve world's first Ebola vaccine https://t.co/CzLMKo6tzl,2019-10-20 15:37:36
"@guardian would any journalist like to investigate the claims on two FOI artilces on Vaccine Damage Payment UKGOV? 2005 @BBCNews claims 917claims totalled £3.5million, @FullFactstate 941 claims until May 2019 £74,690,000. Something doesn't add up.https://t.co/xHxQg7d2nk",2019-10-20 16:45:27
RT @theRCN: The weather is starting to turn and it's definitely getting colder. Help us #BeatTheFlu by getting your flu vaccine to protect…,2019-10-20 19:37:05
"RT @PHE_uk: Did you know the #flu virus can live on hands and hard surfaces for up to 24hrs? This makes it easy for children to spread, and…",2019-10-20 12:08:16
RT @MailOnline: European drug regulators approve world's first Ebola vaccine https://t.co/CzLMKo6tzl,2019-10-20 19:35:18
RT @MailOnline: European drug regulators approve world's first Ebola vaccine https://t.co/CzLMKo6tzl,2019-10-20 15:40:59
"@Lillred So, it's a government organisation which is not linked to the CQC which assesses and pays compensation. https://t.co/NXgAZW29v5",2019-10-20 20:42:22
RT @theRCN: The weather is starting to turn and it's definitely getting colder. Help us #BeatTheFlu by getting your flu vaccine to protect…,2019-10-20 16:30:52
"Hib meningitis used to be the most common type of bacterial meningitis for young children in the UK &amp; Ireland - until the 1992 introduction of the Hib vaccine.

Nowadays, Hib is rare in all age groups. #VaccinesWork https://t.co/3u6S0DtzXZ",2019-10-20 11:49:02
"RT @PHE_uk: Did you know the #flu virus can live on hands and hard surfaces for up to 24hrs? This makes it easy for children to spread, and…",2019-10-20 19:58:58
