full_text,created_at
RT @NHSKernow: Children aged 2 or 3 can get the free flu nasal spray from their GP https://t.co/twpCbnMfXM #StayWellThisWinter https://t.co…,2017-10-20 20:48:22
"RT @PHE_uk: Flu kills around 8,000 people with a long term condition every winter. Ask GP or pharmacist about the free flu jab https://t.co…",2017-10-20 20:09:10
"RT @PHE_uk: Flu kills around 8,000 people with a long term condition every winter. Ask GP or pharmacist about the free flu jab https://t.co…",2017-10-20 18:18:26
"RT @PHE_uk: Flu kills around 8,000 people with a long term condition every winter. Ask GP or pharmacist about the free flu jab https://t.co…",2017-10-20 18:53:37
RT @NHSChoices: Help protect yourself from serious flu complications by getting the free flu jab now #StayWellThisWinter https://t.co/k82fJ…,2017-10-20 21:27:17
"RT @BoltonCCG: At Winter Roadshow, 10am-4pm, Tues 24 Oct, Victoria Square, learn about the flu vaccine #ThinkFluBolton @BoltonCVS https://t…",2017-10-20 21:38:28
"The flu jab is the safest way to protect you and your baby from flu. Speak to your GP, pharmacist or midwife today https://t.co/Eb5uvLld3r https://t.co/FOZeS6NiZj",2017-10-20 18:35:10
"RT @PHE_uk: Around 2,500 people with a heart disease are killed by flu every winter. Ask GP or pharmacist about the free flu jab https://t.…",2017-10-20 18:03:10
"RT @PHE_uk: Flu kills around 8,000 people with a long term condition every winter. Ask GP or pharmacist about the free flu jab https://t.co…",2017-10-20 20:44:53
What you need to know about the flu vaccine 2017/18 https://t.co/4mkWU19TWD https://t.co/cvkHDXV8Br,2017-10-20 19:15:09
"Good news for the cervical cancer vaccine #cervicalcancer #vaccine
https://t.co/tW8Mvkt0kQ https://t.co/cLdckUDscB",2017-10-20 20:09:01
RT @NHSEngland: Children aged 2 or 3 can get the free flu nasal spray from their GP #StayWellThisWinter https://t.co/DCpKvRuC6q https://t.c…,2017-10-20 19:35:38
"RT @joanryanEnfield: As temperatures fall this Winter, the risk of getting flu increases. Ask your GP about the free flu jab now: https://t…",2017-10-20 18:40:20
RT @NHSEngland: Children aged 2 or 3 can get the free flu nasal spray from their GP #StayWellThisWinter https://t.co/DCpKvRuC6q https://t.c…,2017-10-20 21:39:46
RT @NHSEngland: Children aged 2 or 3 can get the free flu nasal spray from their GP #StayWellThisWinter https://t.co/DCpKvRuC6q https://t.c…,2017-10-20 21:59:04
"RT @PHE_uk: Flu kills around 8,000 people with a long term condition every winter. Ask GP or pharmacist about the free flu jab https://t.co…",2017-10-20 18:29:29
RT @OxonCCG: The annual fight against flu has started across Oxfordshire. Find out how to get your flu vaccination https://t.co/UdRFt1yoIV…,2017-10-20 18:56:13
RT @NHSEngland: Children aged 2 or 3 can get the free flu nasal spray from their GP #StayWellThisWinter https://t.co/DCpKvRuC6q https://t.c…,2017-10-20 20:15:37
"RT @NHSEnglandLDN: The #flu nasal spray for children  is easy, quick and painless. https://t.co/vqO679Zy9N #StayWellThisWinter https://t.co…",2017-10-20 20:52:37
"RT @THTorguk: If you're living with HIV, it's time to get your flu jab. Here's why: https://t.co/ESw6DLzu6D #staywellthiswinter https://t.c…",2017-10-20 21:30:08
"RT @PHE_uk: Flu kills around 8,000 people with a long term condition every winter. Ask GP or pharmacist about the free flu jab https://t.co…",2017-10-20 23:02:17
"RT @buckscc: Children aged 2 or 3 can get the free flu nasal spray from their GP #StayWellThisWinter

https://t.co/5E3iex0ZAJ https://t.co/…",2017-10-20 19:14:53
RT @NHSKernow: Children aged 2 or 3 can get the free flu nasal spray from their GP https://t.co/twpCbnMfXM #StayWellThisWinter https://t.co…,2017-10-20 20:13:27
RT @HealthwatchCW: The flu jab is free to people with some long term conditions. Ask your GP or pharmacist about the flu jab today https://…,2017-10-20 21:35:50
"RT @PHE_uk: Flu kills around 8,000 people with a long term condition every winter. Ask GP or pharmacist about the free flu jab https://t.co…",2017-10-20 18:38:13
RT @NHSEngland: Children aged 2 or 3 can get the free flu nasal spray from their GP #StayWellThisWinter https://t.co/DCpKvRuC6q https://t.c…,2017-10-20 19:05:44
"RT @PHE_uk: Flu kills around 8,000 people with a long term condition every winter. Ask GP or pharmacist about the free flu jab https://t.co…",2017-10-20 18:28:35
Help protect yourself from serious flu complications by getting the free flu jab now #StayWellThisWinter https://t.co/iqY6VR9mxI https://t.co/uSutkkLO5S,2017-10-20 18:15:06
"RT @PHE_uk: Flu kills around 8,000 people with a long term condition every winter. Ask GP or pharmacist about the free flu jab https://t.co…",2017-10-20 19:16:13
"RT @PHE_uk: Flu kills around 8,000 people with a long term condition every winter. Ask GP or pharmacist about the free flu jab https://t.co…",2017-10-20 18:36:12
RT @BactiVac: Vaccine development to bacterial pathogens included in the themes of the @wellcomeamr PhD programme. UK &amp; EU nationals eligib…,2017-10-20 22:15:41
RT @LaterNewspaper: @PHE_uk @leicesterliz #FluJab #Democracy 'Many cell lines used for #vaccine production have a potentially strong tumori…,2017-10-20 21:58:16
"At Winter Roadshow, 10am-4pm, Tues 24 Oct, Victoria Square, learn about the flu vaccine #ThinkFluBolton @BoltonCVS https://t.co/9Ss7Nj4hnE https://t.co/4nP1WRbQkn",2017-10-20 19:39:18
RT @NHSEngland: Children aged 2 or 3 can get the free flu nasal spray from their GP #StayWellThisWinter https://t.co/DCpKvRuC6q https://t.c…,2017-10-20 19:34:56
Children aged 2 or 3 can get the free flu nasal spray from their GP #StayWellThisWinter https://t.co/DCpKvRuC6q https://t.co/70XlNTyDQz,2017-10-20 19:01:35
"RT @PHE_uk: Flu kills around 8,000 people with a long term condition every winter. Ask GP or pharmacist about the free flu jab https://t.co…",2017-10-20 20:57:31
RT @NHSEngland: Children aged 2 or 3 can get the free flu nasal spray from their GP #StayWellThisWinter https://t.co/DCpKvRuC6q https://t.c…,2017-10-20 19:25:40
RT @NHSEngland: Children aged 2 or 3 can get the free flu nasal spray from their GP #StayWellThisWinter https://t.co/DCpKvRuC6q https://t.c…,2017-10-20 19:04:33
"RT @PHE_uk: Flu kills around 8,000 people with a long term condition every winter. Ask GP or pharmacist about the free flu jab https://t.co…",2017-10-20 21:00:21
Melinda Messenger slams This Morning for ‘hostile’ HPV vaccine interview https://t.co/rQcWlFTL14,2017-10-20 20:40:37
"RT @KarlBrophy: The HPV vaccine should be extended to teenage boys.

This is just one reason. 

https://t.co/2AjpfpT5VH",2017-10-20 19:53:28
Settling into student life @UniOfYork or @YorkStJohn? Ask about free Men ACWY jabs at the university health centre. https://t.co/WcmLEkI2se https://t.co/ChNnCfwhFO,2017-10-20 18:45:01
RT @NHSEngland: Children aged 2 or 3 can get the free flu nasal spray from their GP #StayWellThisWinter https://t.co/DCpKvRuC6q https://t.c…,2017-10-20 19:01:59
RT @NHSEngland: Children aged 2 or 3 can get the free flu nasal spray from their GP #StayWellThisWinter https://t.co/DCpKvRuC6q https://t.c…,2017-10-20 21:36:04
RT @NHSEngland: Children aged 2 or 3 can get the free flu nasal spray from their GP #StayWellThisWinter https://t.co/DCpKvRuC6q https://t.c…,2017-10-20 19:10:45
RT @NHSEngland: Children aged 2 or 3 can get the free flu nasal spray from their GP #StayWellThisWinter https://t.co/DCpKvRuC6q https://t.c…,2017-10-20 21:27:23
RT @NHSEngland: Children aged 2 or 3 can get the free flu nasal spray from their GP #StayWellThisWinter https://t.co/DCpKvRuC6q https://t.c…,2017-10-20 20:17:44
"RT @pigworldmag: A long way to go, but US-Aus researchers say they have made the first steps towards developing a vaccine for #ASF https://…",2017-10-20 18:43:41
If you are eligible for the flu vaccine get it now – it’s free because you need it https://t.co/kled6UTlgN #StayWellThisWinter #Cumbria https://t.co/63XyXAI17v,2017-10-20 18:55:19
"RT @PHE_uk: Flu kills around 8,000 people with a long term condition every winter. Ask GP or pharmacist about the free flu jab https://t.co…",2017-10-20 23:09:56
RT @hertscc: Help protect yourself from serious flu complications by getting the free flu jab now #StayWellThisWinter: https://t.co/KVG8G2k…,2017-10-20 18:28:19
"RT @PHE_uk: Flu kills around 8,000 people with a long term condition every winter. Ask GP or pharmacist about the free flu jab https://t.co…",2017-10-20 18:52:59
RT @BarnsleyCouncil: All pregnant women in Barnsley are eligible for the flu jab. It’s free because you need it. https://t.co/VE5aSiEsLx #f…,2017-10-20 19:47:37
RT @NHSEngland: Children aged 2 or 3 can get the free flu nasal spray from their GP #StayWellThisWinter https://t.co/DCpKvRuC6q https://t.c…,2017-10-20 19:12:06
Children aged 2 or 3 can get the free flu nasal spray from their GP #StayWellThisWinter https://t.co/yTZ7SEYSSj https://t.co/2gJIR643mw,2017-10-20 19:01:39
"RT @PHE_uk: Flu kills around 8,000 people with a long term condition every winter. Ask GP or pharmacist about the free flu jab https://t.co…",2017-10-20 20:42:49
