full_text,created_at
"'The lack of adequate cold storage and refrigerated transport causes 2 million vaccine-preventable deaths every year'. 
Professor in Cold Economy @Toby_Peters_ writes about the energy conundrum we're not discussing
https://t.co/W35awUCDg4 https://t.co/gYfpIqLjpR",2018-04-20 08:05:27
"RT @GCharing: @ClaireBerlinski The re-emergence of measles in the UK is a direct result of the activities of Andrew Wakefield, who was give…",2018-04-20 11:49:26
RT @Imperial_IGHI: Thank you for joining us at this month’s #IGHIForum We hope you enjoyed it! Don’t forget to attend the Imperial Vaccine…,2018-04-20 09:40:37
"@Zoran_Zaev @SerbianPM @DrZvizdic @haradinajramush @ediramaal From Mexico. I Share The Vaccine Against Corruption OGP London 2013 @David_Cameron Rate Bright, in UK official page
https://t.co/xMGitDJWy3",2018-04-19 16:59:47
"RT @mccandlessp: #Vaccine Mania; Satire on Edward #Jenner's new #cowpox #vaccination for smallpox, by James Gillray, c. 1800. https://t.co/…",2018-04-20 19:25:02
RT @Imperial_IGHI: Thank you for joining us at this month’s #IGHIForum We hope you enjoyed it! Don’t forget to attend the Imperial Vaccine…,2018-04-20 09:18:43
RT @Paulwady: https://t.co/soyMO94EaE The sane are still confused by Wakefield and his double thinking &amp; apparent lies. A great BBC documen…,2018-04-19 20:15:02
RT @HPVjabsforboys: Podcast: Steve Bergman was ‘fit and healthy’ when he got throat cancer as a result of an HPV infection. He’s now campai…,2018-04-19 18:04:38
@ArgosThera abandons phase 3 #kidneycancer vaccine trial....https://t.co/anD1BOFHja,2018-04-20 16:38:42
Podcast: Steve Bergman was ‘fit and healthy’ when he got throat cancer as a result of an HPV infection. He’s now campaigning for the #HPV vaccine for boys https://t.co/tVsR885bIc #podcast #Jabsfortheboys https://t.co/Z0KCd0tXUf,2018-04-19 14:30:23
Find out how UK scientists are trying to help these little guys and much more in this weeks news digest from @CR_UK https://t.co/AuTk7ZZJoR https://t.co/IrKCziEy9x,2018-04-19 15:22:00
RT @VaccineUK: Call for media push to banish vaccine myths (paywalled) https://t.co/xrAjoNRmgk,2018-04-20 17:49:00
"#Vaccine Mania; Satire on Edward #Jenner's new #cowpox #vaccination for smallpox, by James Gillray, c. 1800. https://t.co/C2RGUL3wE7 https://t.co/MUyPvglVF0",2018-04-20 18:41:51
RT @HPVAction: HPV vaccine fails to prevent new anal infections or improve HSIL outcomes in HIV-infected adults. New study: https://t.co/4P…,2018-04-20 16:16:31
"RT @NIHRCRN_tvsm: Teenagers at selected schools in England, Wales and Scotland are being asked to take part in a trial into a meningitis B…",2018-04-20 19:39:33
Legal advocacy in UK for the HPV vaccine to be extended to all boys. Clinicians fighting for their patients via the law ⚖️ 💉@beyondfiveorg @TargetingCancer @throatsurgeon @CNA_org @swallowsgroup @HeadNeckNZ https://t.co/dy24U5cufD,2018-04-19 21:11:30
RT @Imperial_IGHI: .@ChrisChiuLab and colleagues will launch the Imperial Vaccine Research Network on 25 April https://t.co/tcMzRKZWlU http…,2018-04-19 14:55:38
WHO recommends testing before use of Sanofi's #dengue vaccine  https://t.co/8pFdvKOwjk,2018-04-19 14:50:26
RT @HPVAction: HPV vaccine fails to prevent new anal infections or improve HSIL outcomes in HIV-infected adults. New study: https://t.co/4P…,2018-04-20 11:13:42
@Weird_Fox__ @N9nnaDK @RupertTitch @ConstBob @OllieFangClub @EmrgencyKittens I’m not alone. There’s thousands of us in the uk...millions across the world. It’s an epidemic Jo. Very sad they’re not taking seriously. They are of course bringing out a vaccine very soon! It seems cure is not an option if it’s at chronic stage...but prevention is key 🙏,2018-04-20 15:31:11
RT @KeeleUniversity: Research from Keele University published in @PLOSONE has found that many parents of boys are unaware of the dangers of…,2018-04-20 08:05:16
WHO recommends testing before use of Sanofi's dengue vaccine https://t.co/TyUBiyAxDc v @matthiasblamont @jdsteen1 #dengue #vaccine #GlobalHealth,2018-04-19 20:17:12
RT @JoTrust: Want to know more about the #HPV vaccine and how it can help to #PreventCervicalCancer? Find lots of info here: https://t.co/i…,2018-04-19 22:00:34
"Home care provider urges older people to get the flu vaccine this winter With the weather turning noticeably colder and more autumnal in recent weeks, T 
 https://t.co/ITXlC3odgD",2018-04-19 14:25:11
RT @HPVAction: HPV vaccine fails to prevent new anal infections or improve HSIL outcomes in HIV-infected adults. New study: https://t.co/4P…,2018-04-20 07:34:45
Do we still need a #vaccine for #HIV? asks Professor Robin Shattock of @DoM_Imperial - our next #IGHIForum speaker https://t.co/s1n3B2G8Gg https://t.co/JFQb0tK8hZ,2018-04-19 14:28:27
RT @unibirmingham: 'The lack of adequate cold storage and refrigerated transport causes 2 million vaccine-preventable deaths every year'.…,2018-04-20 08:44:24
"@ClaireBerlinski The re-emergence of measles in the UK is a direct result of the activities of Andrew Wakefield, who was given a platform by one of our leading medical journals, the Lancet, to tell the lie that Measles, Mumps &amp; Rubells (MMR) vaccine causes autism. /1",2018-04-20 09:37:05
"Research from Keele University published in @PLOSONE has found that many parents of boys are unaware of the dangers of HPV, and once made aware, want the vaccine for HPV to be offered to boys as well as girls https://t.co/4I2TyKV6fY https://t.co/hIzNygq7ss",2018-04-20 07:29:01
Teenagers urged to take part in meningitis B vaccine trial  https://t.co/GEw6mObB7Z  kindle,2018-04-20 22:06:26
